Topic,Count,Name,Representation,Representative_Docs
-1,8654,-1_new_market_says_2023,"['new', 'market', 'says', '2023', 'india', 'day', 'moving', 'health', 'investors', 'ai']","['Stock market update: Nifty IT index advances 0.06% in a weak market', 'ADOBE ALERT: Bragar Eagel & Squire, P.C. Reminds Investors that a Class Action Lawsuit Has Been Filed Against Adobe Inc. and Encourages Investors to Contact the Firm', 'Emblem (CVE:EMC) Share Price Passes Below Fifty Day Moving Average of $1.88']"
0,3728,0_llc_shares_holdings_stock,"['llc', 'shares', 'holdings', 'stock', 'management', 'position', 'sells', 'investment', 'capital', 'advisors']","['Highland Capital Management LLC Cuts Stock Holdings in Ameriprise Financial, Inc. (NYSE:AMP)', 'Modera Wealth Management LLC Has $1.96 Million Stock Holdings in The Hershey Company (NYSE:HSY)', 'RB Capital Management LLC Has $233,000 Holdings in Kellanova (NYSE:K)']"
1,2594,1_gaza_israel_israeli_war,"['gaza', 'israel', 'israeli', 'war', 'hospital', 'iran', 'palestinian', 'attacks', 'says', 'attack']","['israel-hamas war: water is scarce in gaza, and blinken is back in israel', 'Israel-Gaza war: Is Israel weaponising anti-Semitism?', 'israel-palestine conflict and the gaza war']"
2,1260,2_market_billion_usd_size,"['market', 'billion', 'usd', 'size', 'reach', '2032', 'global', 'research', '2030', 'report']","['Cryogenic Tanks Market Anticipated to Reach USD 9.7 billion Valuation by 2031, Growing at Around 5.8 % CAGR | Research by Transparency Market Research Inc.', 'Household Refrigerators Market To Reach USD 204.2 Billion By 2032 Says DataHorizzon Research', 'Ammonia Market To Reach USD 321.8 Billion By 2032, Says DataHorizzon Research']"
3,1237,3_ukraine_russian_russia_eu,"['ukraine', 'russian', 'russia', 'eu', 'russias', 'war', 'says', 'president', 'sanctions', 'drone']","['Ukraine Thwarts New Russian Drone Attack', 'ukraine war: russia hits most settlements in one day, says kyiv', 'Ukraine Says Its Forces Hit Shipyard in Russian-Occupied Crimea']"
4,865,4_friday_deals_black_best,"['friday', 'deals', 'black', 'best', 'google', 'cyber', 'monday', 'apple', 'pro', 'watch']","['All the best Samsung Frame TV Black Friday deals we’ve found', 'The Best Black Friday Jewelry Deals From Aurate, Mejuri And More', 'Best GoPro Black Friday deals: GoPro cameras and accessories']"
5,835,5_climate_climate change_change_study,"['climate', 'climate change', 'change', 'study', 'covid', 'ice', 'scientists', 'new', 'emissions', 'water']","['Report: Climate change impacts on water are profound and unequal', 'Endangered Parrots Threatened By Deforestation And Climate Change', 'The climate-change religion: How long before human sacrifices?']"
6,789,6_stock price_trading_price_gap,"['stock price', 'trading', 'price', 'gap', 'stock', 'shares', 'volume', 'higher', 'analyst', 'sees']","['Abcam (OTCMKTS:ABCZF) Stock Price Down 1.1%', 'PZ Cussons (OTC:PZCUY) Stock Price Down 2.4%', 'SWEDISH ORPHAN/S (OTCMKTS:SWTUY) Stock Price Down 1.2%']"
7,753,7_stocks_india_inflation_rs,"['stocks', 'india', 'inflation', 'rs', 'crore', 'economy', 'growth', 'market', 'diwali', 'indias']","['India among top 5 markets; willingness to pay among gamers rising: Krafton India CEO', ""'sticky' inflation is still high but that is a good sign for the health of the economy"", 'Asian stocks surge, dollar slumps as traders cheer inflation surprise']"
8,646,8_rating_buy_stocknewscom_upgraded,"['rating', 'buy', 'stocknewscom', 'upgraded', 'receives', 'analysts', 'hold', 'moderate', 'consensus', 'downgraded']","['Olo Inc. (NYSE:OLO) Receives Average Rating of “Moderate Buy” from Brokerages', 'parkland co. (tse:pki) receives average rating of “buy” from analysts', 'Keysight Technologies, Inc. (NYSE:KEYS) Receives Consensus Rating of “Moderate Buy” from Analysts']"
9,567,9_murder_police_man_shooting,"['murder', 'police', 'man', 'shooting', 'woman', 'death', 'killed', 'jailed', 'prison', 'charged']","['Hailsham: Man charged with murder after hit-and-run death', 'teen suspect in fatal thai shopping mall shooting charged with murder, police say', ""Ashley Dale: Men found guilty of woman's shooting murder""]"
10,566,10_quarter_2023_results_quarter 2023,"['quarter', '2023', 'results', 'quarter 2023', 'financial results', 'reports', 'financial', '2023 financial', 'q3', 'q2']","['AvidXchange Announces Third Quarter 2023 Financial Results', 'Futu Announces Third Quarter 2023 Unaudited Financial Results', 'leonardo drs announces financial results for third quarter 2023']"
11,534,11_world cup_cup_world_australia,"['world cup', 'cup', 'world', 'australia', 'india', 'icc', 'final', 'pakistan', 'vs', 'south africa']","[""Ibrahim Zadran posts Afghanistan's first World Cup hundred"", ""It was most attended ODI World Cup ever but jury still out on 50-over format's relevance"", 'fittingly fraught finale for fantastic world cup']"
12,521,12_leadership_work_business_job,"['leadership', 'work', 'business', 'job', 'gen', 'ways', 'college', 'tech', 'career', 'success']","['the power of servant leadership: building a path to lasting business success', ""hate your job but can't quit? a career expert says you should do 5 things to change your attitude around work"", 'Authentic Leadership: Cultivating Trust In Your Business']"
